Particulars,Premium_Current_Month,Premium_Current_YTD,Premium_Previous_Month,Premium_Previous_YTD,Premium_YTD_Variation_Percent,Policies_Current_Month,Policies_Current_YTD,Policies_Previous_Month,Policies_Previous_YTD,Policies_YTD_Variation_Percent,Source_File,Date,Company,Company_Type,Premium_Variation_Zero_Base,Policy_Variation_Zero_Base
Group Yearly Renewable Premium,15.13,76.08,27.17,81.99,-7.21,0,20,1,13,53.85,DetailedReportofNB (36).xls,2024-11-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,43.92,284.75,50.08,257.75,10.48,2620,19487,2371,19487,0.0,DetailedReportofNB (36).xls,2024-11-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,GODIGIT LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,4.55,10.6,0.0,0.0,0.0,689,1333,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,GODIGIT LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,55.59,430.87,32.72,55.48,676.68,17,78,9,17,358.82,DetailedReportofNB (36).xls,2024-11-01,GODIGIT LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.82,5.22,0.01,2.83,84.56,5,46,0,9,411.11,DetailedReportofNB (36).xls,2024-11-01,GODIGIT LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,11.08,247.1,5.48,94.8,160.66,25,470,42,247,90.28,DetailedReportofNB (36).xls,2024-11-01,GODIGIT LIFE INSURANCE LIMITED,Private,0,0
Total,72.04,693.8,38.21,153.1,353.15,736,1928,51,273,606.23,DetailedReportofNB (36).xls,2024-11-01,GODIGIT LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,270.47,2382.17,290.67,2343.5,1.65,3258,27696,3617,27577,0.43,DetailedReportofNB (36).xls,2024-11-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,864.68,7283.47,839.42,5836.07,24.8,86590,732704,86089,624605,17.31,DetailedReportofNB (36).xls,2024-11-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,1296.16,10144.14,1000.15,9094.92,11.54,26,254,9,149,70.47,DetailedReportofNB (36).xls,2024-11-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,10.43,137.95,29.5,226.94,-39.21,27,217,28,227,-4.41,DetailedReportofNB (36).xls,2024-11-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,2441.74,19947.73,2159.73,17501.43,13.98,89901,760871,89743,652558,16.6,DetailedReportofNB (36).xls,2024-11-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,134.0,1138.28,118.65,1139.22,-0.08,3355,25939,1444,14634,77.25,DetailedReportofNB (36).xls,2024-11-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,560.91,4711.72,436.59,3449.6,36.59,42188,364265,37197,334634,8.85,DetailedReportofNB (36).xls,2024-11-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,450.04,3725.42,508.55,3343.39,11.43,17,190,43,193,-1.55,DetailedReportofNB (36).xls,2024-11-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2076.61,4008.53,227.16,2097.79,91.08,149,1339,125,1392,-3.81,DetailedReportofNB (36).xls,2024-11-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,3221.56,13583.94,1290.95,10030.0,35.43,45709,391733,38809,350853,11.65,DetailedReportofNB (36).xls,2024-11-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,5.59,83.9,2.54,469.42,-82.13,110,1466,125,9342,-84.31,DetailedReportofNB (36).xls,2024-11-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,124.98,758.82,145.71,925.53,-18.01,16906,116360,24652,175964,-33.87,DetailedReportofNB (36).xls,2024-11-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,59.39,965.33,66.68,860.93,12.13,11,105,15,118,-11.02,DetailedReportofNB (36).xls,2024-11-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.01,0.18,0.02,0.2,-11.67,0,1,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,189.96,1808.23,214.96,2256.08,-19.85,17027,117932,24792,185424,-36.4,DetailedReportofNB (36).xls,2024-11-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,2.89,24.19,2.94,23.88,1.27,61,646,57,595,8.57,DetailedReportofNB (36).xls,2024-11-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,68.09,611.29,67.73,615.5,-0.68,10670,101404,11343,109980,-7.8,DetailedReportofNB (36).xls,2024-11-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,3.66,40.42,2.05,39.14,3.27,7,43,8,33,30.3,DetailedReportofNB (36).xls,2024-11-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,3.07,25.39,1.8,10.93,132.24,7,32,10,39,-17.95,DetailedReportofNB (36).xls,2024-11-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,77.71,701.28,74.53,689.45,1.72,10745,102125,11418,110647,-7.7,DetailedReportofNB (36).xls,2024-11-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,70.89,921.2,98.08,672.21,37.04,912,14818,1179,16135,-8.16,DetailedReportofNB (36).xls,2024-11-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,164.9,1263.26,174.93,1145.91,10.24,17718,139542,20295,145980,-4.41,DetailedReportofNB (36).xls,2024-11-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,180.27,1545.86,211.63,1733.36,-10.82,7,54,3,62,-12.9,DetailedReportofNB (36).xls,2024-11-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.01,0.08,0.22,1.45,-94.73,0,4,0,7,-42.86,DetailedReportofNB (36).xls,2024-11-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,51.4,922.84,78.96,764.76,20.67,68,570,50,482,18.26,DetailedReportofNB (36).xls,2024-11-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,467.46,4653.23,563.82,4317.69,7.77,18705,154988,21527,162666,-4.72,DetailedReportofNB (36).xls,2024-11-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,221.88,479.3,7.51,50.68,845.64,6468,11332,122,872,1199.54,DetailedReportofNB (36).xls,2024-11-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,177.71,1318.72,156.05,1243.95,6.01,19912,181347,19950,167085,8.54,DetailedReportofNB (36).xls,2024-11-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,57.3,979.03,90.97,533.57,83.49,2,73,2,20,265.0,DetailedReportofNB (36).xls,2024-11-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.05,0.32,0.04,0.16,96.98,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,4.5,47.64,2.93,43.75,8.87,0,2,1,7,-71.43,DetailedReportofNB (36).xls,2024-11-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,461.44,2825.01,257.5,1872.12,50.9,26382,192754,20075,167984,14.75,DetailedReportofNB (36).xls,2024-11-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.63,2.23,0.0,0.82,170.04,9,67,0,30,123.33,DetailedReportofNB (36).xls,2024-11-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Non Single Premium,20.43,152.06,14.91,102.66,48.12,3446,27514,2734,20599,33.57,DetailedReportofNB (36).xls,2024-11-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Single Premium,72.09,551.87,63.28,517.0,6.75,5,34,2,35,-2.86,DetailedReportofNB (36).xls,2024-11-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Yearly Renewable Premium,4.1,57.1,3.26,35.07,62.82,16,131,7,147,-10.88,DetailedReportofNB (36).xls,2024-11-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Total,97.25,763.26,81.45,655.55,16.43,3476,27746,2743,20811,33.32,DetailedReportofNB (36).xls,2024-11-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,587.8,4993.34,557.92,4562.23,9.45,7943,68903,6671,56025,22.99,DetailedReportofNB (36).xls,2024-11-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,1467.13,10546.81,1350.18,9304.74,13.35,158211,1244747,169564,1277438,-2.56,DetailedReportofNB (36).xls,2024-11-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,445.09,4932.92,419.3,6878.92,-28.29,32,194,19,160,21.25,DetailedReportofNB (36).xls,2024-11-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.56,9.28,1.65,16.3,-43.05,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,74.61,465.2,52.68,630.97,-26.27,19,148,16,167,-11.38,DetailedReportofNB (36).xls,2024-11-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,2575.18,20947.55,2381.73,21393.15,-2.08,166205,1313992,176270,1333790,-1.48,DetailedReportofNB (36).xls,2024-11-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,6.72,54.98,3.75,35.96,52.89,1153,6584,755,7654,-13.98,DetailedReportofNB (36).xls,2024-11-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,85.91,664.08,60.38,436.63,52.09,31797,337153,40155,209766,60.73,DetailedReportofNB (36).xls,2024-11-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,47.12,387.19,47.73,337.53,14.71,0,18,1,12,50.0,DetailedReportofNB (36).xls,2024-11-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,120.67,120.67,0.0,0.0,0.0,25,25,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,11.32,120.41,7.05,294.51,-59.11,8,47,1,36,30.56,DetailedReportofNB (36).xls,2024-11-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,271.74,1347.33,118.91,1104.62,21.97,32983,343827,40912,217468,58.1,DetailedReportofNB (36).xls,2024-11-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,4.45,57.3,5.55,45.5,25.93,155,1960,159,1369,43.17,DetailedReportofNB (36).xls,2024-11-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,135.96,934.06,139.5,835.77,11.76,15039,103048,18026,115235,-10.58,DetailedReportofNB (36).xls,2024-11-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,20.16,1522.58,38.77,852.64,78.57,3,17,2,20,-15.0,DetailedReportofNB (36).xls,2024-11-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,6.2,62.17,5.35,164.47,-62.2,2,41,2,38,7.89,DetailedReportofNB (36).xls,2024-11-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,166.77,2576.11,189.16,1898.37,35.7,15199,105066,18189,116662,-9.94,DetailedReportofNB (36).xls,2024-11-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,75.18,559.39,50.62,589.67,-5.13,1462,12003,763,6015,99.55,DetailedReportofNB (36).xls,2024-11-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,510.58,4620.73,487.46,3798.93,21.63,61853,505835,47840,401239,26.07,DetailedReportofNB (36).xls,2024-11-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,28.02,223.68,22.9,172.06,30.0,3,16,0,5,220.0,DetailedReportofNB (36).xls,2024-11-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.07,2.16,0.27,2.39,-9.59,0,0,0,0,0.0,DetailedReportofNB (36).xls,2024-11-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,42.87,372.51,28.41,250.22,48.87,38,318,21,281,13.17,DetailedReportofNB (36).xls,2024-11-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,656.71,5778.48,589.66,4813.28,20.05,63356,518172,48624,407540,27.15,DetailedReportofNB (36).xls,2024-11-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,1662.35,13344.35,1395.1,12147.87,9.85,27359,195666,17101,159769,22.47,DetailedReportofNB (36).xls,2024-11-01,PRIVATE,Private,0,0
Individual Non Single Premium,6138.21,46213.11,5322.61,38018.27,21.56,647152,5283326,643176,4818075,9.66,DetailedReportofNB (36).xls,2024-11-01,PRIVATE,Private,0,0
Group Single Premium,3261.61,33125.48,3085.95,31231.04,6.07,197,1645,151,1121,46.74,DetailedReportofNB (36).xls,2024-11-01,PRIVATE,Private,0,0
Group Non Single Premium,126.34,190.31,4.61,86.11,121.01,37,120,8,52,130.77,DetailedReportofNB (36).xls,2024-11-01,PRIVATE,Private,0,0
Group Yearly Renewable Premium,2366.93,7562.86,552.01,5783.05,30.78,483,4302,414,4066,5.8,DetailedReportofNB (36).xls,2024-11-01,PRIVATE,Private,0,0
PRIVATE TOTAL,13555.45,100436.12,10360.29,87266.33,15.09,675228,5485059,660850,4983083,10.07,DetailedReportofNB (36).xls,2024-11-01,PRIVATE,Private,0,0
Individual Single Premium,2007.09,17527.1,1927.38,15003.15,16.82,64748,632000,64964,567827,11.3,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Individual Non Single Premium,2014.78,19699.13,2335.71,18493.67,6.52,743718,9917920,1314364,10291144,-3.63,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Single Premium,7545.27,103784.15,11649.54,87594.39,18.48,0,278,52,265,4.91,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Non Single Premium,62.45,1770.62,122.3,2042.13,-13.3,348,3098,286,2650,16.91,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Group Yearly Renewable Premium,121.52,1651.09,99.63,1290.98,27.89,2645,18402,2804,19062,-3.46,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Total,11751.11,144432.09,16134.55,124424.31,16.08,811459,10571698,1382470,10880948,-2.84,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
GRAND TOTAL,25306.56,244868.2,26494.83,211690.65,15.67,1486687,16056757,2043320,15864031,1.21,DetailedReportofNB (36).xls,2024-11-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,ACKO LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,0.29,2.38,0.0,0.0,287969.87,194,1294,2,2,64600.0,DetailedReportofNB (35).xls,2024-12-01,ACKO LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,4.45,41.88,6.95,17.35,141.44,0,8,1,6,33.33,DetailedReportofNB (35).xls,2024-12-01,ACKO LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,ACKO LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,ACKO LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,4.74,44.27,6.95,17.35,155.18,194,1302,3,8,16175.0,DetailedReportofNB (35).xls,2024-12-01,ACKO LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,36.63,464.98,38.7,281.81,65.0,480,5098,559,4333,17.66,DetailedReportofNB (35).xls,2024-12-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,447.75,2548.09,352.92,1946.12,30.93,32579,239482,29668,186825,28.19,DetailedReportofNB (35).xls,2024-12-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,395.11,3887.68,393.04,2885.99,34.71,6,134,11,64,109.38,DetailedReportofNB (35).xls,2024-12-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,1.11,12.13,0.39,22.89,-46.98,0,0,0,1,-100.0,DetailedReportofNB (35).xls,2024-12-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,9.24,136.05,15.04,139.28,-2.32,22,214,30,217,-1.38,DetailedReportofNB (35).xls,2024-12-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,889.84,7048.94,800.09,5276.1,33.6,33087,244928,30268,191440,27.94,DetailedReportofNB (35).xls,2024-12-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,13.35,195.41,23.49,167.88,16.4,295,3858,493,3173,21.59,DetailedReportofNB (35).xls,2024-12-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,61.41,531.39,54.82,380.37,39.7,5097,41010,5050,35234,16.39,DetailedReportofNB (35).xls,2024-12-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,30.69,238.13,34.7,211.44,12.62,6,26,5,23,13.04,DetailedReportofNB (35).xls,2024-12-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.01,0.0,0.0,0.0,0,1,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,1,1
Group Yearly Renewable Premium,0.0,0.09,0.0,0.0,0.0,0,5,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,1,1
Total,105.45,965.02,113.02,759.69,27.03,5398,44900,5548,38430,16.84,DetailedReportofNB (35).xls,2024-12-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.03,18.38,1.7,15.64,17.5,40,290,25,249,16.47,DetailedReportofNB (35).xls,2024-12-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,8.72,92.46,19.82,141.94,-34.86,1555,10551,2628,19577,-46.11,DetailedReportofNB (35).xls,2024-12-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.62,7.2,0.83,18.32,-60.71,0,0,1,9,-100.0,DetailedReportofNB (35).xls,2024-12-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.06,0.73,0.07,0.9,-19.27,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,5.13,77.25,4.14,76.67,0.75,11,207,33,213,-2.82,DetailedReportofNB (35).xls,2024-12-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,17.57,196.01,26.55,253.48,-22.67,1606,11048,2687,20048,-44.89,DetailedReportofNB (35).xls,2024-12-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,266.95,1767.82,262.76,1573.25,12.37,1387,11062,1536,8717,26.9,DetailedReportofNB (35).xls,2024-12-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,862.26,5175.51,773.3,4128.14,25.37,67096,530331,66384,450681,17.67,DetailedReportofNB (35).xls,2024-12-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,114.18,1044.29,137.19,1112.66,-6.14,1,52,10,60,-13.33,DetailedReportofNB (35).xls,2024-12-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,11.13,101.76,40.68,152.72,-33.37,16,267,42,333,-19.82,DetailedReportofNB (35).xls,2024-12-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Total,1254.51,8089.38,1213.93,6966.78,16.11,68500,541712,67972,459791,17.82,DetailedReportofNB (35).xls,2024-12-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,39.21,492.53,48.35,434.81,13.27,481,5555,590,4961,11.97,DetailedReportofNB (35).xls,2024-12-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,648.28,4688.72,634.47,3950.41,18.69,76676,550982,64815,487278,13.07,DetailedReportofNB (35).xls,2024-12-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,311.97,2838.72,200.37,2628.36,8.0,7,90,9,88,2.27,DetailedReportofNB (35).xls,2024-12-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,55.37,483.95,78.31,525.08,-7.83,4,291,19,331,-12.08,DetailedReportofNB (35).xls,2024-12-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Total,1054.82,8503.91,961.51,7538.66,12.8,77168,556918,65433,492658,13.04,DetailedReportofNB (35).xls,2024-12-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,0.03,0.29,0.19,0.27,4.2,16,50,48,200,-75.0,DetailedReportofNB (35).xls,2024-12-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Non Single Premium,22.77,60.26,1.55,6.91,772.3,4521,20651,2522,15365,34.4,DetailedReportofNB (35).xls,2024-12-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Single Premium,2.87,53.92,13.36,60.06,-10.23,0,7,3,42,-83.33,DetailedReportofNB (35).xls,2024-12-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (35).xls,2024-12-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Yearly Renewable Premium,0.32,2.43,0.08,0.91,166.94,1,8,0,11,-27.27,DetailedReportofNB (35).xls,2024-12-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Total,25.99,116.89,15.19,68.15,71.52,4538,20716,2573,15618,32.64,DetailedReportofNB (35).xls,2024-12-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Single Premium,1.73,12.4,1.43,11.52,7.66,49,431,72,521,-17.27,DetailedReportofNB (35).xls,2024-12-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
